question,choice1,choice2,choice3,choice4,choice5,answer,difficulty,topic,free,registered
A proprietary lease is issued by which of the following to a shareholder,City council,Accountant,Seller,Attorney,Co-op board,5,2,Condos and Coops,,1
A proprietary lease allows the co-op shareholder to,Sell the co-op,Be on the board,Defer the flip tax,Live in the shareholder unit,None of these,4,2,Condos and Coops,,
"The condition where a property doesn't conform to new zoning laws but is allowed to remain as is, is referred to as",Spot zoning,Non-conforming zoning,Conventional zoning,Illegal,None of these,2,2,Land Use Regulation,1,1
"The condition where a property doesn't conform to new zoning laws but is allowed to remain as is, is referred to as",Spot zoning,None of these,Conventional zoning,Illegal,Bilateral zoning,2,2,Land Use Regulation,,
"A church resides next to a bar, an illegal arrangement according to zoning laws but the bar existed first and is protected under",Spot zoning,Non-conforming zoning,Conventional zoning,Civil Rights,Anti-blockbusting ordinances,2,2,Land Use Regulation,,
Property that is non-conforming to zoning laws but still allowed to exist as is referred to as,Grandmothered,Inherited,Defaulted,Appropriated,Grandfathered,5,2,Land Use Regulation,,
Zeno attempts to rent an apartment with bad credit. Which of the following will he need to provide to a landlord to have a chance at getting the apartment?,Guarantor,Bribe,Collateral,Sworn witness,Notarized job letter,1,2,Leases,,
A guarantor is,Same as a notary,A clause in a contract guaranteeing signature,Someone who provides collateral,An individual that guarantees payment when someone else defaults,None of these,4,2,Leases,,
A guarantor is typically required if a tenant has,Bad credit,High income,Been divorced,A new job,High FICO score,1,2,Leases,,
Broker Ricardo wished to setup mandatory weekly training for his sales agents. Can he?,"Yes, it is for their benefit","Yes, he is owns the brokerage","Yes, he is the broker","Yes, he is the boss","No, agents are independent contractors",5,2,License Law,,1
Ortiz is a sales agent with a major brokerage in NYC. He demands his business expenses be paid by the brokerage.  Must they?,"Yes, he works for them","No, he should be polite first","No, he is responsible for his expenses","Yes, if its related to real estate",Only if he has closed deals,3,2,License Law,,
Broker Linda asks her accountant if she should be employment taxes for her agents. His response should be,"No, they are independent contractors","No, unless they ask","No, unless it's under $250","No, unless they've been with the brokerage for a year","Yes, a portion of taxes is her responsibility",1,2,License Law,,
Can a broker compensate an independent contractor on an hourly basis?,No,Yes,"Yes, as long as its under 40 hours a week","Yes, that is the norm",Yes but only in New York State,1,2,License Law,,
Tax form Schedule C is used by an independent contractor / agent to,Report capital gains,Report income/loss as sole proprietor,List real estate deals closed,Show proof of funds,List credits / debits in a closing,2,2,Income Tax,,
An independent contractor uses the following tax form to specify income / loss incurred as a real estate agent,1040A,Schedule A,Schedule C,1098-T,1099,3,3,Income Tax,,
A real estate agent's boss can tell the contractor only which of the following,What to work on,Where to work,How to work,When to work,Who to work with,1,3,License Law,,1
A real estate agent's boss can tell the contractor only which of the following,None of these,Where to work,How to work,When to work,Who to work with,1,3,License Law,1,1
On what basis is a real estate agent automatically an independent contractor?,DOS,Industry standard,Bank standards,IRS statute,None of these,4,2,License Law,,
"By statute, a real estate agent is automatically a / an",Employee,Intern,Indepenent Contractor,Manager,Temp,3,2,License Law,,
A statute is,Written law,An erect figure,Laws,Criminal conduct,Anything more serious than parking violation,1,2,License Law,,
A statute is,None of these,An erect figure,Laws,Criminal conduct,Anything more serious than parking violation,1,2,License Law,,
The following conditions can be caused by asbestos,Athritis,Migraines,Lung disease,Constipation,Blindness,3,2,Environmental Issues,,
Which of the following materials is known to cause lung disease?,Porcelain,Lead,Paint-based lead,Asbestos,Radon,4,3,Environmental Issues,,
Which of the following harmful substances are often found around pipes?,Asbestos,Radon,Paint-based lead,Insulation,Brass clamps,1,2,Environmental Issues,,
Mesothelioma is a condition that can be caused by,Porcelain,Lead,Paint-based lead,None of these,Radon,4,3,Environmental Issues,,
Mesothelioma is a condition that can be caused by,Porcelain,Lead,Paint-based lead,Asbestos,Radon,4,3,Environmental Issues,,1
A city's municipal engineer oversees the following EXCEPT,Sewers,Road,Subway tunnels,Airports,Electrical lines,4,2,Municipal,,
A city's municipal engineer oversees the following EXCEPT,Sewers,Road,Subway tunnels,None of these,Electrical lines,4,2,Municipal,,
The municipal office that is responsible for highways is,City register,Municipal engineer,Building inspector,City planning,Parks & recreation,2,2,Municipal,,
The Agency Disclosure Form is used by agents to inform clients,What parties are involved,Who the agent works for,How long the agent is willing to work for,The agent's experience,The agent's license history,2,2,Law of Agency,,
The point in time an agent is required to prevent an Agent Disclosure Form is,First phone call,At every contact,First substantive contact,First time agent remembers,As soon as agent remembers,3,2,Law of Agency,1,1
The point in time an agent is required to prevent an Agent Disclosure Form is,First phone call,At every contact,None of these,First time agent remembers,As soon as agent remembers,3,2,Law of Agency,,
Orlando is ready to meet his buyer for the first time at his office. What form must he give to his buyer?,Affirmation,Commission agreement,Agent Disclosure Form,Sales contract examples,Business card,3,2,Law of Agency,,
"Perez is late for his first face to face meeting with seller Veronica. However, he remembers to have a copy of what form to give to Veronica",Affirmation,Commission agreement,Agent Disclosure Form,Sales contract examples,Brokere brochure,3,2,Law of Agency,,
Which form states who a salesperson represents?,Rental application,Agent Disclosure Form,Pocket card,None of these,Listing agreemenet,2,3,Law of Agency,,
If a client refuses to sign the Agency Disclosure Form then,The agent cannot represent the client,Hand the matter over to the broker,Record an affirmation,Gently insist the client sign,None of these,3,3,Law of Agency,,
If a client refuses to sign the Agency Disclosure Form then,The agent cannot represent the client,Hand the matter over to the broker,None of these,Gently insist the client sign,Refer the matter to an attorney,3,3,Law of Agency,,
Agent Aclema is holding an open house. She required to give a form to individuals that,Show up,Show an interest in a house,Only make an offer,Agree to pay a commission,Owner seems to like,2,3,Law of Agency,,
Agent Arhema is holding an open house. She required to give a form to individuals that,Show up,None of these,Only make an offer,Agree to pay a commission,Owner seems to like,2,3,Law of Agency,,
What type of clause in a contract allows a buyer to exit a contract if a condition is not met?,Option,Arbitration,Mediation,Exit clause,Contigency,5,2,Contracts,,
A contingency allows one to,Exit an arrangement if a condition is not met,Delay a decision to later,Flip a house more quickly,Lock into agreement by default,Void a contract at will,1,3,Contracts,,1
The escalation clause in a commercial lease allows the landlord to,Install escalators anywhere on the premise,Reduce hostilities with tenant,Prioritize maintenance issues,Raise rent,None of these,4,3,Leases,,
The escalation clause in a commercial lease allows the landlord to,Install escalators anywhere on the premise,Reduce hostilities with tenant,Prioritize maintenance issues,Pass down unexpected costs,None of these,4,3,Leases,,
Mark specifies home inspection as a contingency in his contract with seller. The home inspection shows the roof may collapse this year. Can he back out?,"No, she signed a contract",None of these,"Yes, the inspector can cancel the contract","Yes, but she will lose her deposit","No, unless pays to fix the roof",2,3,Contracts,,
Oprah specifies home inspection as a contingency in her contract with seller. The home inspection shows the roof may collapse this year. Can she back out?,"No, she signed a contract","Yes, a contingency allows her to","Yes, the inspector can cancel the contract","Yes, but she will lose her deposit","No, unless pays to fix the roof",2,3,Contracts,1,1
The escalation clause in a commercial lease allows the landlord to,Install escalators anywhere on the premise,Reduce hostilities with tenant,Prioritize maintenance issues,None of these,Force a sale,4,3,Leases,,
Portland leases out a mall to a tenant and wants them to a portion of any future increase in water taxes. This would be specified in,Abstract,Disclosure form,Lease amendment,Board package,Escalation clause,5,2,Leases,,
Portland leases out a mall to a tenant and wants them to a portion of any future increase in water taxes. This would be specified in,Abstract,Disclosure form,Lease amendment,Board package,None of these,5,2,Leases,,
Kathy puts a $50K deposit on a home and signs a contract. The next day the basement of the home floods. Can she backed out?,"Yes, under undue causes","Yes, if she had the appropriate contingency","No, water causes little damage","No, because the owner will pay for the repair","Yes, a contract is only effective at the closing",2,3,Contracts,,
A common form of contingency in a sales contract is,Ability to obtain a mortgage,Sanitary conditions,Health of the seller,FEMA alerts,Being able to read,1,2,Contracts,,
An escalation clause is more likely to be present in the lease of,Apartment,One bedroom condo,Two family house,Trailer,Office,5,2,Leases,,
The first fair housing law is considered to be ,Jones v Mayer,Civil Rights Act of 1968,Civil Rights Act of 1866,End of Civil War in 1865,EOE,3,2,Fair Housing,,
The Civil Rights Act that gives all people full real estate rights was enacted in,1866,1968,1852,1972,1986,1,2,Fair Housing,,
The Civil Rights Act that gives all people full real estate rights was enacted in,None of these,1968,1852,1972,1986,1,2,Fair Housing,,1
Which case established that there are no exceptions to Civil Rights Act of 1866?,Jonah v Mayer,Jones v Mayer,Brown v Mayer,Mayer v Brown,Jones v Board of Education,2,3,Fair Housing,,
Which case established that there are no exceptions to Civil Rights Act of 1866?,Jonah v Mayer,None of these,Brown v Mayer,Mayer v Brown,Jones v Board of Education,2,3,Fair Housing,,
In what year did the Supreme Court case that established there are no exceptions to Civil Rights Act of 1866?,1866,1968,1972,1988,1998,3,3,Fair Housing,,
Jones v Mayer established that,No exceptions exist to 1866 Civil Rights Act,None of these,Separate but equal was allowable,Homeowners were exempt,Repealing of Civil Rights was possible,1,3,Fair Housing,,
Jones v Mayer established that,None of these,Schools cannot segregate,Separate but equal was allowable,Homeowners were exempt,Repealing of Civil Rights was possible,1,3,Fair Housing,1,1
The Civil Rights Act of 1866 gives all people,Full real estate rights regardless of race,The freedom to sell with contingencies,The right to buy regardless of religion or sexual orientation,The right to sell  regardless of religion or sexual orientation,None of these,1,3,Fair Housing,,
The Civil War ended in,One year after the Civils Right Act of 1866,1890,1864,One year before the Civils Right Act of 1866,1866,4,3,Fair Housing,,1
Agent Britney visits seller Arnold's home to get a listing. Arnold states he only wants a buyer of the same race. Britney must,Declare the Civil Rights Act before taking the listing,Silently disagree,Refuse the listing,Demand an apology,Report him to Federal authorities,3,2,Fair Housing,,
Landlord Amanda wants her apartments to be shown to non-minorities only. Agent Hailee should,Focus on renting the apartment,Disregard Amanda's personal opinion,Inform Amanda it is illegal to do what she asked,Read Amanda her rights,Call the police,3,2,Fair Housing,,
The Civil Rights Act necessarily protects which group of people?,Minorities,The wealthy,Buyers,Sellers,Workers,1,2,Fair Housing,,
The Civil Rights Act necessarily protects which group of people?,None of these,Majorities,Landlords,Sellers,Workers,1,2,Fair Housing,,
Tenants in common can be defined as two people who own real estate together and,Are married,Do not have survivorship,Have survivorship,Have divided ownership,Must be in the same state,2,2,Estates and Interests,,
Tenants in common can be defined as two people who own real estate together and,Are married,None of these,Have survivorship,Must be from out of state,Must be in the same state,2,2,Estates and Interests,,1
"Tori, Amanda and Alex are tenants in common in a 3 family house. Who owns the 1st floor?",Amanda,All of them,Alex,Tori,None of them,2,3,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a tenant in common, what percentage ownership does Greg have?",20%,100%,50%,25%,80%,1,3,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a tenant in common, what percentage ownership does Ricardo have?",20%,100%,50%,25%,80%,5,3,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a tenant in common, what percentage of physical space does Greg own?",20%,100%,50%,25%,0%,2,3,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a tenant in common, what percentage of the physical space does Greg own?",20%,100%,50%,25%,0%,2,3,Estates and Interests,,
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a tenant in common, what percentage ownership does Carla have?",20%,100%,50%,25%,80%,1,3,Estates and Interests,1,1
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a tenant in common, what percentage ownership does Sandy have?",20%,100%,50%,25%,80%,5,3,Estates and Interests,,
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a tenant in common, what percentage of the physical space does Sandy own?",20%,100%,50%,25%,0%,2,3,Estates and Interests,,
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a tenant in common, what percentage of the physical space does Carla own?",20%,100%,50%,25%,0%,2,3,Estates and Interests,,
Monica and Albert buy a condo and are tenants in common. What percentage of the elevator does Monica own?,100%,22.38%,Half of the common area,25%,Equal to all other owners in the building,5,3,Estates and Interests,,
Can two married individuals be tenants in common in a property?,"No, married people cannot","Yes, always","No, never","Yes, unless they are married to each other","Yes, if they are married to each other",4,3,Estates and Interests,,
Teresa and Wanda are tenants in common in a two family house. Wanda dies and Teresa wishes to assume ownership of Wanda's shares. Can she?,"Yes, tenants in commons allows for it","No, unless an attorney approves","No, Teresa needs to wait 90 days","No, Wanda's portion goes to the state","No, tenants in common do not have survivorship",5,3,Estates and Interests,,1
Teresa and Wanda are tenants in common in a two family house. Wanda dies and Teresa wishes to assume ownership of Wanda's shares. Can she?,"Yes, tenants in commons allows for it","No, unless an attorney approves","No, Teresa needs to wait 90 days","No, Wanda's portion goes to the state",None of these,5,3,Estates and Interests,,
Ownership in a tenants in common is,Divided,Undivided,Deeded,Restricted,Unbounded,2,2,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a joint tenancy, what percentage ownership does Greg have?",20%,100%,50%,25%,80%,3,3,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a joint tenancy, what percentage ownership does Ricardo have?",20%,100%,50%,25%,80%,3,3,Estates and Interests,,
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a joint tenancy, what percentage ownership does Carla have?",20%,100%,50%,25%,80%,3,3,Estates and Interests,,1
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a joint tenancy, what percentage ownership does Sandy have?",20%,100%,50%,25%,80%,3,3,Estates and Interests,,
"Mr. Martinez and his son Mr. Martinez Jr. wish to purchase a 2 family home. Junior wants to exclusively own the first floor, can he in a tenants in common?","Yes, tenants in common allows for division","No, ownership is undivided",None of these,"No, tenants in common are not allowed in blood relationships","Yes, but it will cost more to file",2,3,Estates and Interests,,
Joint tenancy and tenants in common differ in,Survivorship and division,Purchase price,Common areas,Owner rights,Allocation of money when sold,1,3,Estates and Interests,1,1
Joint tenancy and tenants in common differ in,None of these,Purchase price,Common areas,Owner rights,Allocation of money when sold,1,3,Estates and Interests,,
Rick defaults on his mortgage on a condo unit. The bank can foreclose on,Just the common area,Just the condo unit,The condo and common area,The condo shares,The proprietary lease,2,2,Estates and Interests,,
The lobby in a condo building is,Owned as tenants in common by condo unit owners,Owned by the management company,Leased to condo unit owners,A condop,The co-op in a condop,1,3,Estates and Interests,,
A specific lien is attached to,A person,Personal property,Real property,Billing statement,None of these,3,2,Easement and Liens,,
Which of the following would a specific lien be attached to?,A car,Credit card,A house,Billing statement,None of these,3,2,Easement and Liens,,1
An example of a specific lien would be,Parking lien,Medical lien,Mortgage lien,Lien issued on a specific day,Car payment lien,3,2,Easement and Liens,,
An example of a specific lien would be,Property tax lien,Water tax bill,Utility lien,Driver license lien,Plumber's bill,1,2,Easement and Liens,,
Non-payment of a specific lien can lead to,Repo of your car,Power shut off,None of these,Foreclosure,Lien on a bank account,4,2,Easement and Liens,,
Non-payment of a general lien can lead to,Repo of your car,Foreclosure,Lien on a bank account,None of these,All of these,5,2,Easement and Liens,,1
Which  following organizations can issue a general lien?,IRS,City register,Bank,Landlord,Mechanic,1,2,Easement and Liens,,
Which  following organizations can issue a specific lien?,Bank,Accountant,Title insurance,Department of Sanitation,DMV,1,3,Easement and Liens,,
Which of the following assets will a specific lien not go against?,The whole house,Backyard shed,Paid off car,Fixtures in a house,Plumbing system in a house,3,2,Easement and Liens,,
Which of the following assets will a general  lien not go against?,Bank account,Bank lockbox,Personal property,Leased car,Fixtures in a house,4,3,Easement and Liens,,
An example of a voluntary lien is,Mechanic's lien,Mortgage lien,No such thing,Property tax lien,Sherriff's lien,2,3,Easement and Liens,1,1
An example of a voluntary lien is,Mechanic's lien,Mortgage lien,You can't volunteer for a lien,Property tax lien,Sherriff's lien,2,3,Easement and Liens,,
An example of an involuntary lien is,Federal income tax lien,Mortgage lien,Parking ticket,Credit card interest rate,None of these,1,2,Easement and Liens,,
An example of an involuntary lien is,Property tax lien,Mortgage lien,Parking ticket,Credit card interest rate,None of these,1,2,Easement and Liens,,
An example of an involuntary lien is,Mechanic's lien,Mortgage lien,Parking ticket,Credit card interest rate,None of these,1,2,Easement and Liens,,
Which of the following BEST describes the difference between a specific and general lien?,"Specific is tied to a single property, general goes against all assets","Specific is tied one asset, general to all houses","Specific has a purpose, general is broad","Specific is tied to a property, general to all properties","Specific is tied to one asset, general to all assets",1,3,Easement and Liens,,
"In a foreclosure, which lien has the highest seniority?",Car,Mortgage,Property tax,Mechanic's,Federal tax,5,3,Easement and Liens,,
"In a foreclosure, which lien has the highest seniority?",Credit card,Mortgage,Property tax,Mechanic's,None of these,5,3,Easement and Liens,,
Malik loses his job and eventually his property gets foreclosed on. Which of the following liens would need to be paid off first?,Mortgage note,Income tax,Car,Legal fees,Bank's loan,2,2,Easement and Liens,,
A property tax lien is which type of lien?,Specific and voluntary,Specific and involuntary,General and voluntary,General and involuntary,Specific only,2,2,Easement and Liens,,
A mechanic's lien is which type of lien?,Specific and voluntary,Specific and involuntary,General and voluntary,General and involuntary,Voluntary only,2,2,Easement and Liens,,1
A mortgage is which type of lien?,Specific and voluntary,Specific and involuntary,General and voluntary,General and involuntary,None of these,1,2,Easement and Liens,,
An income tax lien is which type of lien?,Specific and voluntary,Specific and involuntary,Voluntary and generic,General and involuntary,None of these,4,2,Easement and Liens,,
A New York State tax lien is which type of lien?,Specific and voluntary,Specific and involuntary,General and voluntary,General and involuntary,None of these,4,2,Easement and Liens,,
A property tax lien is which type of lien?,None of these,Specific and involuntary,General and voluntary,Voluntary and generic,Specific only,1,2,Easement and Liens,1,1
A mechanic's lien is which type of lien?,None of these,Specific and involuntary,General and voluntary,General and involuntary,Voluntary only,1,2,Easement and Liens,,
A mortgage is which type of lien?,None of these,Specific and involuntary,General and voluntary,Voluntary and generic,Specific only,1,2,Easement and Liens,,
An income tax lien is which type of lien?,None of these,Specific and involuntary,General and voluntary,General and involuntary,Voluntary only,1,2,Easement and Liens,,
A New York State tax lien is which type of lien?,None of these,Specific and involuntary,General and voluntary,General and involuntary,Voluntary and generic,1,2,Easement and Liens,,
Mark owns his home in severalty but the roof deck as a tenant in common. He owns a,Co-op,Condo,Lease,Shares,Mortgage,2,2,Estates and Interests,,
The following ownerships have survivorship,Joint tenants and tenancy by entirety,Joint tenants and tenants in common,Tenancy by the entirety and tenants in common,Ownership in severalty,Ownership in severalty and joint tenants,1,3,Estates and Interests,,
All of the following ownership have survivorship EXCEPT,Husband and wife owning same house,Joint tenancy,Tenancy by the entirety,Tenants in common,Four unities of possession are met and agreed to,4,3,Estates and Interests,,
Amit signs a contract to buy a home. Who pays for the home inspection?,Amit,Seller,His agent,Seller's agent,Attorney,1,2,Closings,,
The following are examples of buyer costs EXCEPT,Survey,Home inspection,Appraisal,Seller's marketing,Buyer's marketing,4,2,Closings,,1
Wanda signs a contract to buy a home. Who pays for the appraisal?,Wanda,Seller,His agent,Seller's agent,Attorney,1,2,Closings,,
Gary signs a contract to buy a home. Who pays for the survey?,Gary,Seller,His agent,Seller's agent,Attorney,1,2,Closings,,
Timothy enters into a contract with Sheila to buy her house. A home inspection finds the water heater partially functions. Who pays to fix this?,Title insurance,Property insurance,Sheila,Timothy,No one,4,2,Closings,,1
A home inspection that finds a major problem typically becomes whose responsibility to fix prior to closing?,Buyer,Seller,Property insurance,Current tenants,Seller's agent,2,2,Closings,,
Homestead include the following types of properties,Dwellings of four or fewer units but not farms,Farms only,Dwellings of four or fewer units and farmhouse,Farmhouse and co-ops,Co-ops,3,2,Estates and Interests,1,1
Homestead include the following types of properties EXCEPT,Owner-occupied mobile homes,3 family home,Farm excluding the farmhouse,Farmhouse,Qualified vacant land,3,2,Estates and Interests,,
Vacant land is homestead if it is,Suitable for qualified buildings,Raw,Undiscovered,Adjacent to a major city,Farmland,1,2,Estates and Interests,,
"In a farm, the farmhouse and the farm section are","Homestead and non-homestead, respectively","Non-homestead and homestead, respectively",Both homestead,Both non-homestead,Condops,1,2,Estates and Interests,,
"After signing a contract but before closing, buyer Margaret does a walkthru of the home she is purchasing and finds mold. Who pays to remedy?",Buyer,Seller,Brokerage,Seller's agent,City,2,2,Closings,,1
Which of the following expenses are NOT tax deductible?,Legal fees,Escrow fees,Title insurance,Appraisal,Mortgage payments,4,2,Taxes and Assessments,,
Which of the following expenses are NOT tax deductible?,Legal fees,Escrow fees,Title insurance,Survey,Mortgage payments,4,2,Taxes and Assessments,,
"For tax purposes, a condo is considered",Homestead,Non-homestead,Long-term asset,Personal property,Short-term asset,1,2,Estates and Interests,,
An offering plan for a condo is submitted to the,Department of State,State Attorney General,US Attorney General,Attorney,General Attorney,2,2,Condos and Coops,,
An offering plan for a co-op is submitted to the,Department of State,State Attorney General,US Attorney General,Attorney,General Attorney,2,2,Condos and Coops,,
CPS-1 stands for,Condo Policy Statement,Condop Policy Statement,Co-operative Policy Statement,Condominium Policy Statement,None of these,3,2,Condos and Coops,,1
CPS-1 stands for,Condo Policy Statement,Condop Policy Statement,None of these,Condominium Policy Statement,Conversion Policy Statement,3,2,Condos and Coops,,
CPS-1s are necssarily applicable to the following EXCEPT,Co-operatives,Condominiums,Homeowner Associations,New development,Condops,4,2,Condos and Coops,,
Victory Investment Corp. wishes to convert an office building into condos. Which of the following must it file with the State AG?,SEQRA,CPS-1,CC&Rs,CSP-1,None of these,2,2,Condos and Coops,,
The following are purposes a CPS-1 is used EXCEPT,Explore a market,Evaluate demand,Discuss potential risks,Price units,Propose advertising,3,3,Condos and Coops,1,1
The following are purposes a CPS-1 is used EXCEPT,Explore a market,Evaluate demand,Discuss potential risks,None of these,Propose advertising,3,3,Condos and Coops,,
An offering plan is written up by the,Sponsor,Tenant,Landlord,Management company,Investor,1,3,Condos and Coops,,1
"In New York, the offering plan is submitted to the",NYPD,FDNY,NYS AG,NY Supreme court,NYSE,3,3,Condos and Coops,,
Can a developer commence development prior to approval of an offering plan?,"Yes, approval is not required","Yes, offering plan is optional","No, the plan needs to be approved first","Yes, the buyers must approve it","No, the plan is optional",3,3,Condos and Coops,,1
Can a developer commence development prior to approval of an offering plan?,"Yes, approval is not required","Yes, offering plan is optional",None of these,"Yes, the buyers must approve it","No, the plan is optional",3,3,Condos and Coops,,
Can a developer market a property prior to approval of an offering plan?,"Yes, marketing is fine, development is not","Yes, marketing and development can go ahead","Yes, but only after development",No,Yes,3,3,Condos and Coops,,
SEQRA stands for,State Environmental Quality Review Act,State Environmental Quality Review Accord,State Engineering Quality Review Act,Standard Environmental Quality Review Act,Stated Environmental Quality Review Act,1,2,Environmental Issues,,
The law that requires an Environmental Impact Statement to be written is,FEMA,Environmental Protection Act,Wildlife Protection Act,ASPCA,SEQRA,5,2,Environmental Issues,,
Jennifer wishes to build a large 30 unit condo building near some wildlife. Which law may require her to do an environmental assessmeent?,EPA,SEQRA,EIS,WWF,ORCA,2,2,Environmental Issues,,1
The law that requires an Environmental Impact Statement to be written is,FEMA,Environmental Protection Act,Wildlife Protection Act,ASPCA,None of these,5,2,Environmental Issues,,1
SEQRA requires which of the following to be written?,Environmental Impact Statement,Environment Assessment Statement,Offering plan,CC&Rs,Bylaws,1,2,Environmental Issues,,
Rick decides to sell his mom's house on her behalf. Is he required to have a real estate license?,"No, she is a blood relative","No, if he lives there","Yes, he represents someone else","Yes, all selling must be through a broker","No, he is the property manager",3,2,Law of Agency,,
Veronica is a licensed broker and wishes to sell her house. Can she sell it herself?,"No, she needs a broker","No, it?s a conflict of interest","Yes, she can sell what she owns","Yes, only because she's a broker",Only if it was held for 2 years or more,3,2,Law of Agency,,
Norris is the janitor for a 10-unit office building. A friend of his wants to view a unit available for lease. Can Norris show the unit?,"Yes, as long as its informal","No, unless Norris is licensed","No, janitor's cannot show property","Yes, if Norris gets management approval","Yes, because they are friends",2,2,Law of Agency,1,1
"Marlene wants to help her uncle Pete sell his home by doing it on his behalf. If she is not licensed, can she help Pete?","No, she must be licensed to represent someone","No, she is not licensed","Yes, as long as there's no compensation","Yes, they are family","Yes, if he is over 65",3,2,Law of Agency,,
Can a non-licensed individual sell property on behalf of another individual?,"No, never","Yes, always",Only if there is no compensation,Only if the seller is family,Only if the buyer is family,3,2,Law of Agency,,
"In the context of real estate, a kickback is when a/an",Broker is paid in cash,Salesperson is paid in cash,The agent returns some commission to the buyer,Unlicensed individual is paid for real estate services,None of these,4,2,Law of Agency,,1
"Broker Gary hires Armando, who is unlicensed, to do showings. Armando agrees to take 10% of every deal. The payment is known as a/an",Commission split,Kickback,GCI,Embezzlement,Violation of OLDCAR,2,2,Law of Agency,,
Mickey is a licensed salesperon. He hires Charles to take his phone calls and pays him a salary. Is this legal?,"No, this is a kickback","No, Charles needs to be licensed","Yes, as long as Charles takes down information only","Yes, Charles is a subagent","No, it is ethically wrong",3,2,Law of Agency,,
Broker Terence agrees to pay salesperson Jenna 20% of his sale if she takes care of all advertising. Is this legal?,"No, this is a kickback","No, Jenna needs to be a broker","Yes, both are licensed","Yes, anyone can share the commission","No, it violates the DOB code of ethics",3,2,Law of Agency,,1
Arianny just became a broker and decided to hire a subagent. She agrees to give the subagent 40% of her commissions. Is this legal?,"No, this is a kickback","No, Arianny needs to wait a year","No, the subagent cannot accept such payments","No, 40% is usury",Yes,5,2,Law of Agency,,
Marc is 17 and finds a job at a brokerage where Linda pays him 10% of his commissions. Is this legal?,"No, this is a kickback","No, Marc is too young","Yes, Marc can legally work","No, Linda cannot share her commission with anyone",None of these,1,2,Law of Agency,,1
Moses is the property manager and owner of a 15-unit building. He wishes to rent it out on his own without a broker. Is that legal?,"No, commercial property requires an agent","No, property managers are not agents","Yes, an owner can rent out their own property","Yes, as long as its under 20 units",None of these,3,2,Law of Agency,,
Broker Brutus pays his friend Albert referral fees for bringing Brutus sellers. Is this legal?,"Yes, it's not a commission","No, it's a kickback","Yes, as long as the amounts vary","No, it's not a commission",None of these,2,3,Law of Agency,,
Salesperson Sally sends a friend who is a bank teller a gift basket for introducing her to a buyer. Is this legal?,"Yes, it's not a commission","No, it's a kickback","Yes, as long as the amounts vary","No, it's not a commission",None of these,2,3,Law of Agency,,
"Salesperson Sam represents the seller at a closing. When the closing is done, the seller wires commissions to Sam's account. Is this legal?","Yes, if Sam is due a commission","Yes, it was not cash","No, commission monies go to the broker only","No, only the broker earned the commission",None of these,3,2,Law of Agency,,
A commission check for a completed real estate deal can be made out to ONLY the,Salesperson,Broker,Buyer,Seller,Landlord,2,2,Law of Agency,,
A commission check can be made out to all of the following EXCEPT,Brokerage,Salesperson's broker,Subagent's broker,Salesperson,Broker,4,2,Law of Agency,1,1
The situation where an unlicensed individual is paid a portion of a broker's commission is known as,Split,Subagency,Refund,Bribe,Kickback,5,2,Law of Agency,,
The two type of associations in a business partnerships are,General and limited,General and specific,Specific and limited,Joint and general,S and C corps,1,3,Estates and Interests,,
Which of the following type of associations in a business partnership limits liability?,Limited,Restricted,Bounded,Contained,Pass-thru,1,3,Estates and Interests,,
"In a business partnership, the general partner",Undertakes more risk than limited partners,Undertakes less risk than limited partners,Undertakes the same level of risk as limited partners,Is considered the silent partner,None of these,1,3,Estates and Interests,,1
In a general partnership,All partners share financial liability,No partner undertakes financial liability,The liability is limited to their investments made,Junior partners are excluded from financial liability,None of these,1,3,Estates and Interests,,
In a limited partnership,Some partners are general and others limited,All are limited partners,All are general partners,All have equal financial liability,No one has any financial liability,1,2,Estates and Interests,,
Negative amortization means,Interest payments decline due to payments,Principal balance increases due to insufficient payments,Principal balance decreases slowly over time,Amortization is an unwanted situation,None of these,2,2,Mortgage,,1
The condition where principal balance due on a mortgage continous to rise despite payments is called,Balloon payments,Negative amortization,Negative appreciation,Positive depreciation,Carryover principal,2,2,Mortgage,,
"Rick owes $522,000 on his mortgage. Despite making consisten payments every month, the amount he owes continues to increase. This is known as",Triple net mortgage,Adjustable-rate mortgage,Interest-only loan,Negative amortization,Reverse mortgage,4,2,Mortgage,,
The difference between an agent's client and customer is,The agent works for the client,The agent works for the customer,The agent works for both,The agent works for himself only,The agent works for neither,1,2,Law of Agency,,
