Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer,Difficulty,Topic,Free,Registered
The phyisical column behind and supporting a wall is called a,Crossbeam,Beam,Stud,Brace,Rider,3,2,Construction,,
A wall stud is a,Vertical beam behind a wall,Horizontal beam,Roof beam,Support for the foundation,Carries the major weight of a house,1,2,Construction,1,1
"In a residential brokerage, real estate records should be kept for ",6 months,2 years,3 years,7 years,Till the closing,3,2,Law of Agency,,
"Alfonso just brokered a large deal and is walking out of the closing with a folder of records. At minimum, he would keep those records for?",7 years,Not required,2 years,3 years,None of these,4,2,Law of Agency,,
"For commercial transactions, how many years should an agent keep its records?",6 months,2 years,3 years,7 years,Till the closing,4,3,Law of Agency,,
Anita lists a 7 unit building for sale. How long should she keep her listing agreement for?,7 years,Until it is sold,3 years,Indefinitely,As long as the seller requires,1,3,Law of Agency,,
The Clean Air Act regulates the which of the following,Pollutants,Chloro-fluoro-carbons emissions,Air filter density,Air conditioners,Carbon monoxide emissions,2,2,Environmental Issues,,
CFCs are gases regulated by which legislation?,Ozone Protection Act,Environmental Protection Act,,,Clean Air Act,5,2,Environmental Issues,,1
"In the context of an agent, Title X is most closely associated with",Lead-based Paint Disclosure,Lead,Paint,Lead Disclosure,Lead-based Paint,1,3,Environmental Issues,,
The presence of lead-based paint is likely if the house was built before,2002,1978,1987,1897,1877,2,2,Environmental Issues,,
The federal government banned consumer use of lead-containing paint in,1992,1988,1978,1987,1897,3,2,Environmental Issues,,
The law requiring lead disclosure forms was enacted in,1992,1978,1987,1988,1997,1,2,Environmental Issues,,
The regulation regarding lead-based paint disclosure is called,Residential and Commercial Lead Reduction Act,Title Z,Lead Disclosure Act,RESPA,Title X,5,2,Environmental Issues,1,1
Samantha is looking to buy a house and goes out on showings with agent Henderson. Which of the following is Henderson required to give to Samantha,Sales contract,Lead disclosure form,Affirmation,Agent's opinion on lead trends,Brokerage's lead policy,2,2,Environmental Issues,,
Signed Lead Disclosure forms must be kept for how many years?,6,2,3,4,1,3,2,Environmental Issues,,
Lead poisoning usually occurs via,Inhalation of lead-based paint,Ingestion of lead-based paint,Physical contact of lead-based paint,Presence of lead-based paint,Eye contact with lead-based paint,2,2,Environmental Issues,,
A blue booklet given along with a lead disclosure form has the following title,Your Rights,Agent Disclosure Form,Understanding Lead-based Paint,Protect Your Family,Understanding Lead,4,3,Law of Agency,,
"What is the color of the booklet titled ""Protect Your Family""?",Blue,Red,Green,Black,White,1,2,Law of Agency,,
"Typically, the Lead-based Paint Hazard Disclosure Form is signed by the",Attorney,Buyer,Landlord,Property Manager,Agent,2,3,Environmental Issues,,1
"Typically, the Lead-based Paint Hazard Disclosure Form is signed by the",Attorney,Tenant,Landlord,Construction Manager,Agent,2,3,Environmental Issues,,
Arnaud asks you to show him some new construction homes. Are you still required to give him a lead disclosure form?,"No, lead was banned since 1987","No, lead was banned since 1978","Yes, it's required regardless","Yes, lead is still used","No, it's not required for new homes",5,3,Environmental Issues,,
The year 1978 is most closely associated with,Banning of asbestos,Civil rights protection,Title X,Amendment to Civil Rights Act of 1977,Banning of residential use of lead-based paint,5,3,Environmental Issues,,
The X is in Title X stands for,Repeal,Former,Cancelling,10,20,4,2,Environmental Issues,,
Properties built before what year require lead disclosure forms,1992,1978,1987,1988,1997,2,2,Environmental Issues,1,1
The term riparian is most closelyassociated with,Roads,Runways,Waterfall,Rivers,Lakes,4,2,Estates and Interests,,
The term littoral is most closely associated with,Land,Lakes,Garbage,None of these,All of these,2,2,Estates and Interests,,
Riparian and littoral are rights of an owner of,An adjacent ocean,Nearest lake,All of these,None of these,Land contiguous to a body of water,5,2,Estates and Interests,,
The right to use a flowing body of water is called,Littoral,Riparian,Percolating,Appropriative,Hydratic,2,2,Estates and Interests,,
The right to use a lake contiguous to owned land is called,Littoral,Riparian,Percolating,Appropriative,Oceanic,1,2,Estates and Interests,,
"In a transaction , an agent, by definition, is someone who represents ",Himself / herself,Someone else,The law,Article 12B,None of these,2,2,Law of Agency,,1
Broker Victoria gets seller Amanda to sign a listing agreement. Who is the agent?,The buyer,Attorney,Victoria,Victoria's agents,Any licensed salesperson,3,3,Law of Agency,,
"Terence is a salesperson. His seller, Corona, signs a listing agreement. Who is the agent?",Terence's broker,Terence,Corona,Terence's team,None of these,1,3,Law of Agency,,
"If Bob is the broker and Sam is a salesperson for Bob, Sam is",An agent,A subagent,Fidicuiary of Bob,Reports to Bob,None of these,2,3,Law of Agency,,
The formula for actual cash value is,Replacement cost minus depreciation,Cash value plus depreciation,Projected cash value minus actual,Replacement cost plus depreciation,Cash value minus depreciation,1,3,Property Insurance,,
"In the context of insurance, the acronym ACV stands for",After Closing Value,Actual Cash Value,Active Cash Value,Actual Cash Verification,Actual Cash Valuation,2,2,Property Insurance,1,1
Replacement cost less what equals actual cash value?,Insurance,Depreciation,Material,Inflation,Deflation,2,2,Property Insurance,,
Actual cash value plus depreciation would equal,Actual cost,True cost,Repaired cost,Replacement cost,Real cost,4,3,Property Insurance,,
"In the context of property insurance, replacement cost is",The cost to tear down a structure,The cost of materials for a new structure,The cost of labor to erect a structure,Architecture design costs,The cost to rebuild,5,3,Property Insurance,,
The certification of the signature on a document by notary public is known as,Notarization,Acknowledgement,Affirmation,To be notarized,None of these,2,2,Contracts,,
The certification of the signature on a document by notary public is known as,Notarization,None of these,Affirmation,To be notarized,None of these,2,2,Contracts,,
Actual cash value plus depreciation would equal,Actual cost,True cost,Repaired cost,None of these,Real cost,4,3,Property Insurance,,1
Acknowledgement is defined as,Certification of signature by a notary public,No-commitment indication of interest by buyer,No-commitment indication of interest by seller,Any of these,None of these,1,2,Contracts,,
Acknowledgement is defined as,Certification of signature by a notary public,Agreement by buyer and seller attorneys,No-commitment indication of interest by seller,A document with ID attached,A note that a client refused to sign the disclosure form,1,2,Contracts,,
An acknowedgement is need in order to,Establish the identity of the author of a contract,Prove the document is authentic,Prevent confusion on who buyer is,Seller's agreement to disclose financial information,File with the county clerk,5,2,Contracts,,
Which of the following is NOT certified by a notary public acknowleding a document,Signature on the document,The month document was signed,Age of the signer,Identity of signers,Date of signature,3,2,Contracts,,
Is a notary required to read a document in order to certify it?,"Yes, how else can he know it's legit","Yes, it may contain illegal clauses",No,"Yes, he may need to appear in court","Yes, but only if its not already signed yet",3,3,Contracts,1,1
Is a notary required to verify the accuracy of a document?,"Yes, if it's in English",No,"Yes, if it is a sales contract","No, unless he suspects something",Only by request,2,3,Contracts,,
A condop is a building that is structurally,Co-op converted to a condo,Condo converted to a co-op,Co-op that is real property,"Part condo, part co-op",Condominiums,4,2,Condos and Coops,,
A building has 114 apartment units with several doctor offices on the ground floor. This most likely is,A condop,All co-ops,Public housing,Funded by private investors,A gated community,1,2,Condos and Coops,,
"At the most general level, a condop is legally divided into",Two condos,A condo and co-op,Two co-ops,Mix of co-ops and condos,Several condops,1,3,Condos and Coops,,
Spot zoning is when,A neighborhood is rezoned,Zoning is done on the spot,A single parcel is illegaly rezoned,Parking in front of a building is limited,None of these,3,2,Land Use Regulation,,
The mayor of a small city changes the zoning rules for his house only. This is known as,Rezoning,Blockbusting,Redlining,Spot zoning,Disclosure violation,4,2,Land Use Regulation,,1
Martha applies for a variance and is denied. Her rich neighbor applies for the same variance and receives it. This situation is known as,Spot zoning,Grandfathered zoning,Gentrification,ECB violation,An illegal violation,1,3,Land Use Regulation,,
The valuation of a property is an estimate of the property's,Size,Market value,Construction cost,Replacement cost,Rehab cost,2,2,Finance and Economics,,
An evaluation of a property is,An opinion on the strategy for a property,Valuation,Comps,Assessment,Audit report,1,2,Finance and Economics,,
"In the context of mortgages, the acronym FHA stands for",Federal Housing Authority,Federal Housing Administration,Fair Housing Act,Federal Homeowners Association,First Housing Administration,2,2,Mortgage,,
The difference between valuation and evaluation is,Valuation is an opinion; Evaluation is an appraisal,There is no difference,Valuation is the opposite of evaluation,Valuation is a financial estimate; Evaluation is an opinion,Evaluation can only be performed by someone licensed,4,3,Finance and Economics,1,1
"In the context of mortgages, the acronym FHA stands for",Federal Housing Authority,None of these,Fair Housing Act,Federal Homeowners Association,First Housing Administration,2,2,Mortgage,,
"In the context of mortgages, the acronym VA stands for",Very Affordable rated,Very Afforable mortgage,Veterans Affairs,Veterans Act,Volitile ARM,3,2,Mortgage,,
"In the context of mortgages, SONYMA stands for",State of NY Matrimonial Act,SONY Music & Arts,State of NY Mortgage Association,State of NY Mortgage Agency,State of NY Mortgage Act,4,3,Mortgage,,
"In the primary mortgage markets, who sells mortgages to who?",Banks to agencies,Agencies to banks,Banks to the public,The public to the Feds,Agencies to agencies,3,3,Mortgage,,
"In the context of mortgages, FDMC is also known as",Elmer Fudd,Freddie,Fannie Mac,Freddie Mae,Freddie Mac,5,3,Mortgage,,
The Federal Housing Administration operates in which market?,Primary,Secondary,Both,Neither,It depends,1,3,Mortgage,,1
The acronym FDMC stands for,Federal Home Mortgage Company,Federal Home Mortgage Corporation,Federal Housing Mortgage Corporation,Federal Home Mortgage Corporation,Federal Home & Mortgage Corporation,2,2,Mortgage,,
The Government National Mortgage Association is also referred to as,Gin May,Ginnie Mac,Ginnie Mae,Ginny May,Aunt Jenima,3,2,Mortgage,,
"The FHA, VA and SONYMA all operate in which market?",Primary,Secondary,Both,Neither,It depends,1,3,Mortgage,,
"The FNMA, GNMA and FDMC all operate in which market?",Primary,Secondary,Both,Neither,It depends,2,3,Mortgage,,
Does the FHA make loans?,"Yes, that?s what it does","No, it has nothing to do with loans","No, it ensures laons only","Yes, only if it?s a conforming loan","Yes, only if it?s a convential loan",3,3,Mortgage,1,1
Which of the following government agency does NOT make loans?,GNMA,FHA,VA,FDHMC,FNMA,2,3,Mortgage,,
A conventional loan,Have no government involvement,Conform to government standards,Are issued by the government,None of these,All of these,1,3,Mortgage,,
A conforming loan follows guidelines from ,FNMA & FDMC,VA,GNMA,FHA,DOS,1,3,Mortgage,,
A non-conforming loan does NOT meet guidelines from,FNMA & FDMC,VA,GNMA,FHA,IRS,1,2,Mortgage,,
Stuart gets a loan from a bank. The loan follows guidelines from FNMA and is thus known as,A conventional loan,An approved loan,A valid loan,A conforming loan,A non-jumbo loan,4,2,Mortgage,,
Alison just signed her mortgage paperwork with the bank. No government agency is involved. The loan is known as,A conventional loan,An approved loan,A valid loan,A conforming loan,A jumbo loan,1,2,Mortgage,,1
A title abstract is,A summary of the title report,Conceptual idea of a title report,The concept of what a title report is,A drawing of the subject property in the title report,None of these,1,2,Closings,,
A summary of a title report is called a/an,CMA,Briefing,Abstract,Summary Judgement,Header,3,2,Closings,,
A title search is conducted in order to,Activate title insurance,Find physical defects,Issue a quitclaim deed,Meet bank requirements to close,Examine historic chain of ownership,5,2,Closings,,
Oliver is considering buying what seems like an abandoned house. He would be advised to conduct which of the following FIRST before closing?,Demand a quitclaim deed,Accept a quitclaim deed only,Title search,Contract to flip to another buyer,None of these,3,3,Closings,,
A title abstract is useful because title reports are,Lengthy,Expensive,Usually inaccurate,Incomprehensible,Boring,1,3,Closings,1,1
Peter leases a retail store for 5 years. Each year the rent goes up by 3%. This type of lease is known as,Stepup,Inclining,Inflationary,Graduated,Highline,4,2,Leases,,
Graduated leases,None of these,Are for college dorms,Expire at graduation,Automatically extend,Increase annually,5,2,Leases,,
Graduated leases are most commonly used in what type of leases,Residential,Commercial,Factories,Two family homes,Studio apartments,2,2,Leases,,
"When the rent increases at fixed intervals, the lease is called",Stepup,Inclining,Inflationary,Jacked,Graduated,5,1,Leases,,
"General agents, as opposed to special agents, work on",One thing,A number of things,Anything,Nothing,Only certain periods,2,2,Law of Agency,,
"Special agents, as opposed to general agents, work on",One thing,A number of things,Anything,Nothing,Weekdays only,1,2,Law of Agency,,1
A property manager is an example of what type of agency,Restricted,Local,Special,General,Generic,4,2,Law of Agency,,
Mortgage brokers are examples of what type of agency,Specific,Local,Special,General,Generic,3,2,Law of Agency,,
Marty is a real estate broker. That would make him a ,"General agent, he can sell any property","General agent, he is not limited like a salesperson","Special agent, he is licensed to do one thing",Both general and special,None of these,3,3,Law of Agency,,
Olaf just purchased a co-op. He is allowed to stay in his co-op because of which document,Deed,Stock certificate,Proprietary lease,Tenant laws,Bundle of rights,3,2,Condos and Coops,,
"In a co-op purchase, the buyer gets stock certificates and a/an",Deed,Stock certificate,Proprietary lease,Tenant laws,Lease option,3,2,Condos and Coops,1,1
A proprietary lease is issued by which of the following to a shareholder,City council,Accountant,Seller,Attorney,Co-op board,5,2,Condos and Coops,,
A proprietary lease allows the co-op shareholder to,Sell the co-op,Be on the board,Defer the flip tax,Live in the shareholder unit,None of these,4,2,Condos and Coops,,
"The condition where a property doesn't conform to new zoning laws but is allowed to remain as is, is referred to as",Spot zoning,Non-conforming zoning,Conventional zoning,Illegal,None of these,2,2,Land Use Regulation,,
"The condition where a property doesn't conform to new zoning laws but is allowed to remain as is, is referred to as",Spot zoning,None of these,Conventional zoning,Illegal,Bilateral zoning,2,2,Land Use Regulation,,
"A church resides next to a bar, an illegal arrangement according to zoning laws but the bar existed first and is protected under",Spot zoning,Non-conforming zoning,Conventional zoning,Civil Rights,Anti-blockbusting ordinances,2,2,Land Use Regulation,,
Property that is non-conforming to zoning laws but still allowed to exist as is referred to as,Grandmothered,Inherited,Defaulted,Appropriated,Grandfathered,5,2,Land Use Regulation,,1
Zeno attempts to rent an apartment with bad credit. Which of the following will he need to provide to a landlord to have a chance at getting the apartment?,Guarantor,Bribe,Collateral,Sworn witness,Notarized job letter,1,2,Leases,,
A guarantor is,Same as a notary,A clause in a contract guaranteeing signature,Someone who provides collateral,An individual that guarantees payment when someone else defaults,None of these,4,2,Leases,,
A guarantor is typically required if a tenant has,Bad credit,High income,Been divorced,A new job,High FICO score,1,2,Leases,,
Broker Ricardo wished to setup mandatory weekly training for his sales agents. Can he?,"Yes, it is for their benefit","Yes, he is owns the brokerage","Yes, he is the broker","Yes, he is the boss","No, agents are independent contractors",5,2,License Law,,
Ortiz is a sales agent with a major brokerage in NYC. He demands his business expenses be paid by the brokerage.  Must they?,"Yes, he works for them","No, he should be polite first","No, he is responsible for his expenses","Yes, if its related to real estate",Only if he has closed deals,3,2,License Law,1,1
Broker Linda asks her accountant if she should be employment taxes for her agents. His response should be,"No, they are independent contractors","No, unless they ask","No, unless it's under $250","No, unless they've been with the brokerage for a year","Yes, a portion of taxes is her responsibility",1,2,License Law,,
Can a broker compensate an independent contractor on an hourly basis?,No,Yes,"Yes, as long as its under 40 hours a week","Yes, that is the norm",Yes but only in New York State,1,2,License Law,,
Tax form Schedule C is used by an independent contractor / agent to,Report capital gains,Report income/loss as sole proprietor,List real estate deals closed,Show proof of funds,List credits / debits in a closing,2,2,Income Tax,,
An independent contractor uses the following tax form to specify income / loss incurred as a real estate agent,1040A,Schedule A,Schedule C,1098-T,1099,3,3,Income Tax,,
A real estate agent's boss can tell the contractor only which of the following,What to work on,Where to work,How to work,When to work,Who to work with,1,3,License Law,,
A real estate agent's boss can tell the contractor only which of the following,None of these,Where to work,How to work,When to work,Who to work with,1,3,License Law,,1
On what basis is a real estate agent automatically an independent contractor?,DOS,Industry standard,Bank standards,IRS statute,None of these,4,2,License Law,,
"By statute, a real estate agent is automatically a / an",Employee,Intern,Indepenent Contractor,Manager,Temp,3,2,License Law,,
A statute is,Written law,An erect figure,Laws,Criminal conduct,Anything more serious than parking violation,1,2,License Law,,
A statute is,None of these,An erect figure,Laws,Criminal conduct,Anything more serious than parking violation,1,2,License Law,,
The following conditions can be caused by asbestos,Athritis,Migraines,Lung disease,Constipation,Blindness,3,2,Environmental Issues,1,1
Which of the following materials is known to cause lung disease?,Porcelain,Lead,Paint-based lead,Asbestos,Radon,4,3,Environmental Issues,,
Which of the following harmful substances are often found around pipes?,Asbestos,Radon,Paint-based lead,Insulation,Brass clamps,1,2,Environmental Issues,,
Mesothelioma is a condition that can be caused by,Porcelain,Lead,Paint-based lead,None of these,Radon,4,3,Environmental Issues,,
Mesothelioma is a condition that can be caused by,Porcelain,Lead,Paint-based lead,Asbestos,Radon,4,3,Environmental Issues,,
A city's municipal engineer oversees the following EXCEPT,Sewers,Road,Subway tunnels,Airports,Electrical lines,4,2,Municipal,,
A city's municipal engineer oversees the following EXCEPT,Sewers,Road,Subway tunnels,None of these,Electrical lines,4,2,Municipal,,1
The municipal office that is responsible for highways is,City register,Municipal engineer,Building inspector,City planning,Parks & recreation,2,2,Municipal,,
The Agency Disclosure Form is used by agents to inform clients,What parties are involved,Who the agent works for,How long the agent is willing to work for,The agent's experience,The agent's license history,2,2,Law of Agency,,
The point in time an agent is required to prevent an Agent Disclosure Form is,First phone call,At every contact,First substantive contact,First time agent remembers,As soon as agent remembers,3,2,Law of Agency,,
The point in time an agent is required to prevent an Agent Disclosure Form is,First phone call,At every contact,None of these,First time agent remembers,As soon as agent remembers,3,2,Law of Agency,,
Orlando is ready to meet his buyer for the first time at his office. What form must he give to his buyer?,Affirmation,Commission agreement,Agent Disclosure Form,Sales contract examples,Business card,3,2,Law of Agency,1,1
"Perez is late for his first face to face meeting with seller Veronica. However, he remembers to have a copy of what form to give to Veronica",Affirmation,Commission agreement,Agent Disclosure Form,Sales contract examples,Brokere brochure,3,2,Law of Agency,,
Which form states who a salesperson represents?,Rental application,Agent Disclosure Form,Pocket card,None of these,Listing agreemenet,2,3,Law of Agency,,
If a client refuses to sign the Agency Disclosure Form then,The agent cannot represent the client,Hand the matter over to the broker,Record an affirmation,Gently insist the client sign,None of these,3,3,Law of Agency,,
If a client refuses to sign the Agency Disclosure Form then,The agent cannot represent the client,Hand the matter over to the broker,None of these,Gently insist the client sign,Refer the matter to an attorney,3,3,Law of Agency,,
Agent Aclema is holding an open house. She required to give a form to individuals that,Show up,Show an interest in a house,Only make an offer,Agree to pay a commission,Owner seems to like,2,3,Law of Agency,,
Agent Arhema is holding an open house. She required to give a form to individuals that,Show up,None of these,Only make an offer,Agree to pay a commission,Owner seems to like,2,3,Law of Agency,,1
What type of clause in a contract allows a buyer to exit a contract if a condition is not met?,Option,Arbitration,Mediation,Exit clause,Contigency,5,2,Contracts,,
A contingency allows one to,Exit an arrangement if a condition is not met,Delay a decision to later,Flip a house more quickly,Lock into agreement by default,Void a contract at will,1,3,Contracts,,
The escalation clause in a commercial lease allows the landlord to,Install escalators anywhere on the premise,Reduce hostilities with tenant,Prioritize maintenance issues,Raise rent,None of these,4,3,Leases,,
The escalation clause in a commercial lease allows the landlord to,Install escalators anywhere on the premise,Reduce hostilities with tenant,Prioritize maintenance issues,Pass down unexpected costs,None of these,4,3,Leases,,
Mark specifies home inspection as a contingency in his contract with seller. The home inspection shows the roof may collapse this year. Can he back out?,"No, she signed a contract",None of these,"Yes, the inspector can cancel the contract","Yes, but she will lose her deposit","No, unless pays to fix the roof",2,3,Contracts,1,1
Oprah specifies home inspection as a contingency in her contract with seller. The home inspection shows the roof may collapse this year. Can she back out?,"No, she signed a contract","Yes, a contingency allows her to","Yes, the inspector can cancel the contract","Yes, but she will lose her deposit","No, unless pays to fix the roof",2,3,Contracts,,
The escalation clause in a commercial lease allows the landlord to,Install escalators anywhere on the premise,Reduce hostilities with tenant,Prioritize maintenance issues,None of these,Force a sale,4,3,Leases,,
Portland leases out a mall to a tenant and wants them to a portion of any future increase in water taxes. This would be specified in,Abstract,Disclosure form,Lease amendment,Board package,Escalation clause,5,2,Leases,,
Portland leases out a mall to a tenant and wants them to a portion of any future increase in water taxes. This would be specified in,Abstract,Disclosure form,Lease amendment,Board package,None of these,5,2,Leases,,
Kathy puts a $50K deposit on a home and signs a contract. The next day the basement of the home floods. Can she backed out?,"Yes, under undue causes","Yes, if she had the appropriate contingency","No, water causes little damage","No, because the owner will pay for the repair","Yes, a contract is only effective at the closing",2,3,Contracts,,
A common form of contingency in a sales contract is,Ability to obtain a mortgage,Sanitary conditions,Health of the seller,FEMA alerts,Being able to read,1,2,Contracts,,1
An escalation clause is more likely to be present in the lease of,Apartment,One bedroom condo,Two family house,Trailer,Office,5,2,Leases,,
The first fair housing law is considered to be ,Jones v Mayer,Civil Rights Act of 1968,Civil Rights Act of 1866,End of Civil War in 1865,EOE,3,2,Fair Housing,,
The Civil Rights Act that gives all people full real estate rights was enacted in,1866,1968,1852,1972,1986,1,2,Fair Housing,,
The Civil Rights Act that gives all people full real estate rights was enacted in,None of these,1968,1852,1972,1986,1,2,Fair Housing,,
Which case established that there are no exceptions to Civil Rights Act of 1866?,Jonah v Mayer,Jones v Mayer,Brown v Mayer,Mayer v Brown,Jones v Board of Education,2,3,Fair Housing,1,1
Which case established that there are no exceptions to Civil Rights Act of 1866?,Jonah v Mayer,None of these,Brown v Mayer,Mayer v Brown,Jones v Board of Education,2,3,Fair Housing,,
In what year did the Supreme Court case that established there are no exceptions to Civil Rights Act of 1866?,1866,1968,1972,1988,1998,3,3,Fair Housing,,
Jones v Mayer established that,No exceptions exist to 1866 Civil Rights Act,None of these,Separate but equal was allowable,Homeowners were exempt,Repealing of Civil Rights was possible,1,3,Fair Housing,,
Jones v Mayer established that,None of these,Schools cannot segregate,Separate but equal was allowable,Homeowners were exempt,Repealing of Civil Rights was possible,1,3,Fair Housing,,
The Civil Rights Act of 1866 gives all people,Full real estate rights regardless of race,The freedom to sell with contingencies,The right to buy regardless of religion or sexual orientation,The right to sell  regardless of religion or sexual orientation,None of these,1,3,Fair Housing,,
The Civil War ended in,One year after the Civils Right Act of 1866,1890,1864,One year before the Civils Right Act of 1866,1866,4,3,Fair Housing,,1
Agent Britney visits seller Arnold's home to get a listing. Arnold states he only wants a buyer of the same race. Britney must,Declare the Civil Rights Act before taking the listing,Silently disagree,Refuse the listing,Demand an apology,Report him to Federal authorities,3,2,Fair Housing,,
Landlord Amanda wants her apartments to be shown to non-minorities only. Agent Hailee should,Focus on renting the apartment,Disregard Amanda's personal opinion,Inform Amanda it is illegal to do what she asked,Read Amanda her rights,Call the police,3,2,Fair Housing,,
The Civil Rights Act necessarily protects which group of people?,Minorities,The wealthy,Buyers,Sellers,Workers,1,2,Fair Housing,,
The Civil Rights Act necessarily protects which group of people?,None of these,Majorities,Landlords,Sellers,Workers,1,2,Fair Housing,,
Tenants in common can be defined as two people who own real estate together and,Are married,Do not have survivorship,Have survivorship,Have divided ownership,Must be in the same state,2,2,Estates and Interests,1,1
Tenants in common can be defined as two people who own real estate together and,Are married,None of these,Have survivorship,Must be from out of state,Must be in the same state,2,2,Estates and Interests,,
"Tori, Amanda and Alex are tenants in common in a 3 family house. Who owns the 1st floor?",Amanda,All of them,Alex,Tori,None of them,2,3,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a tenant in common, what percentage ownership does Greg have?",20%,100%,50%,25%,80%,1,3,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a tenant in common, what percentage ownership does Ricardo have?",20%,100%,50%,25%,80%,5,3,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a tenant in common, what percentage of physical space does Greg own?",20%,100%,50%,25%,0%,2,3,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a tenant in common, what percentage of the physical space does Greg own?",20%,100%,50%,25%,0%,2,3,Estates and Interests,,1
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a tenant in common, what percentage ownership does Carla have?",20%,100%,50%,25%,80%,1,3,Estates and Interests,,
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a tenant in common, what percentage ownership does Sandy have?",20%,100%,50%,25%,80%,5,3,Estates and Interests,,
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a tenant in common, what percentage of the physical space does Sandy own?",20%,100%,50%,25%,0%,2,3,Estates and Interests,,
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a tenant in common, what percentage of the physical space does Carla own?",20%,100%,50%,25%,0%,2,3,Estates and Interests,,
Monica and Albert buy a condo and are tenants in common. What percentage of the elevator does Monica own?,100%,22.38%,Half of the common area,25%,Equal to all other owners in the building,5,3,Estates and Interests,1,1
Can two married individuals be tenants in common in a property?,"No, married people cannot","Yes, always","No, never","Yes, unless they are married to each other","Yes, if they are married to each other",4,3,Estates and Interests,,
Teresa and Wanda are tenants in common in a two family house. Wanda dies and Teresa wishes to assume ownership of Wanda's shares. Can she?,"Yes, tenants in commons allows for it","No, unless an attorney approves","No, Teresa needs to wait 90 days","No, Wanda's portion goes to the state","No, tenants in common do not have survivorship",5,3,Estates and Interests,,
Teresa and Wanda are tenants in common in a two family house. Wanda dies and Teresa wishes to assume ownership of Wanda's shares. Can she?,"Yes, tenants in commons allows for it","No, unless an attorney approves","No, Teresa needs to wait 90 days","No, Wanda's portion goes to the state",None of these,5,3,Estates and Interests,,
Ownership in a tenants in common is,Divided,Undivided,Deeded,Restricted,Unbounded,2,2,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a joint tenancy, what percentage ownership does Greg have?",20%,100%,50%,25%,80%,3,3,Estates and Interests,,
"Ricardo puts in $150K towards a $200K home. Greg puts in the other $50K. In a joint tenancy, what percentage ownership does Ricardo have?",20%,100%,50%,25%,80%,3,3,Estates and Interests,,1
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a joint tenancy, what percentage ownership does Carla have?",20%,100%,50%,25%,80%,3,3,Estates and Interests,,
"Sandy puts in $100K towards a $200K home. Carla puts in the other $100K. In a joint tenancy, what percentage ownership does Sandy have?",20%,100%,50%,25%,80%,3,3,Estates and Interests,,
"Mr. Martinez and his son Mr. Martinez Jr. wish to purchase a 2 family home. Junior wants to exclusively own the first floor, can he in a tenants in common?","Yes, tenants in common allows for division","No, ownership is undivided",None of these,"No, tenants in common are not allowed in blood relationships","Yes, but it will cost more to file",2,3,Estates and Interests,,
Joint tenancy and tenants in common differ in,Survivorship and division,Purchase price,Common areas,Owner rights,Allocation of money when sold,1,3,Estates and Interests,,
Joint tenancy and tenants in common differ in,None of these,Purchase price,Common areas,Owner rights,Allocation of money when sold,1,3,Estates and Interests,1,1
Rick defaults on his mortgage on a condo unit. The bank can foreclose on,Just the common area,Just the condo unit,The condo and common area,The condo shares,The proprietary lease,2,2,Estates and Interests,,
The lobby in a condo building is,Owned as tenants in common by condo unit owners,Owned by the management company,Leased to condo unit owners,A condop,The co-op in a condop,1,3,Estates and Interests,,
A specific lien is attached to,A person,Personal property,Real property,Billing statement,None of these,3,2,Easement and Liens,,
Which of the following would a specific lien be attached to?,A car,Credit card,A house,Billing statement,None of these,3,2,Easement and Liens,,
An example of a specific lien would be,Parking lien,Medical lien,Mortgage lien,Lien issued on a specific day,Car payment lien,3,2,Easement and Liens,,
An example of a specific lien would be,Property tax lien,Water tax bill,Utility lien,Driver license lien,Plumber's bill,1,2,Easement and Liens,,1
Non-payment of a specific lien can lead to,Repo of your car,Power shut off,None of these,Foreclosure,Lien on a bank account,4,2,Easement and Liens,,
Non-payment of a general lien can lead to,Repo of your car,Foreclosure,Lien on a bank account,None of these,All of these,5,2,Easement and Liens,,
Which  following organizations can issue a general lien?,IRS,City register,Bank,Landlord,Mechanic,1,2,Easement and Liens,,
Which  following organizations can issue a specific lien?,Bank,Accountant,Title insurance,Department of Sanitation,DMV,1,3,Easement and Liens,,
Which of the following assets will a specific lien not go against?,The whole house,Backyard shed,Paid off car,Fixtures in a house,Plumbing system in a house,3,2,Easement and Liens,1,1
Which of the following assets will a general  lien not go against?,Bank account,Bank lockbox,Personal property,Leased car,Fixtures in a house,4,3,Easement and Liens,,
An example of a voluntary lien is,Mechanic's lien,Mortgage lien,No such thing,Property tax lien,Sherriff's lien,2,3,Easement and Liens,,
An example of a voluntary lien is,Mechanic's lien,Mortgage lien,You can't volunteer for a lien,Property tax lien,Sherriff's lien,2,3,Easement and Liens,,
